trait_domain_name,taxon_name,n_records,mean,median,sd,iqr,n_suspected_outliers
Leaf Area,Agoseris glauca,49,5.687488986394558,5.4626,1.8189704860169096,2.3899,2
Leaf Area,Agropyron cristatum,12,223.50916666666666,190,139.30531807758445,149.9975,1
Leaf Area,Agropyron desertorum,10,2.93207,2.7609500000000002,1.471466628949196,1.5725499999999997,1
Leaf Area,Agrostis alpina,11,27.10969697090909,28.93,8.342048837601096,11.574999999999996,0
Leaf Area,Agrostis mertensii,18,82.30464815,73.7,36.89543267604488,29.543224999999993,3
Leaf Area,Agrostis rupestris,30,31.981203644433332,27.0563975,18.86038625800609,26.952624832500003,1
Leaf Area,Agrostis sp,13,194.03820359201177,136.82,171.56900927081543,214.769440155775,1
Leaf Area,Agrostis stolonifera,18,138.2940056878307,84.66499999999999,178.81746383404322,181.4141,1
Leaf Area,Ailanthus altissima,53,3327.108266037736,2816.1,7366.9853926639935,3230.0213,1
Leaf Area,Ajuga reptans,47,860.4119048765957,990.378,307.46149559494353,298.1245000000001,7
Leaf Area,Albizia julibrissin,20,104.737754,55.296800000000005,109.37007230234904,171.90395999999998,1
Leaf Area,Alchemilla alpina,15,348.1533333333333,385.4,96.30602166803388,164.34999999999997,0
Leaf Area,Alchemilla coriacea,10,519.32234304,481.4801824,175.4885330793692,118.44791300000009,2
Leaf Area,Alchemilla pentaphyllea,10,231.51082730000002,234.7011435,37.375934509693714,46.92732550000005,0
Leaf Area,Alchemilla sp,17,3688.3510529411765,3518.8,1703.4285880988377,1612.4999999999995,4
Leaf Area,Alchemilla vulgaris,12,1676.1860145,1626.942983,358.70977511318534,456.01700925,0
Leaf Area,Alchemilla xanthochlora,27,808.7654755444444,718.38123,520.3151841387669,459.6068816500001,3
Leaf Area,Alkanna tinctoria,10,51.45,48.5,16.305162781565027,23.375,1
Leaf Area,Alliaria petiolata,11,1558.269867768595,1411.67,913.7703218679942,367.8299999999999,3
Leaf Area,Allium cernuum,17,55.105294117647055,16.55,159.81224284756968,7.389999999999999,1
Leaf Area,Allium flavum,10,535.8,429,288.99011901601216,307.25,1
Leaf Area,Allium geyeri,16,117.97333333333331,116.2,44.5840549474311,47.375,1
Leaf Area,Allium sphaerocephalon,11,1467.5345454545454,1333.6,678.9029517738693,728.8500000000001,1
Leaf Area,Allium textile,10,1.809736,1.78499,0.6247540206299863,0.8461024999999998,0
Leaf Area,Alnus alnobetula,10,6719.442983310438,7607.7665,3671.176655459439,2399.808500000001,2
Leaf Area,Alnus glutinosa,45,3835.71817319224,3975.18333333333,1856.5290094372378,1590.3000000000002,9
Leaf Area,Alnus incana,15,3000.425703733333,3040.803954,601.353609606845,945.3432899999998,0
Leaf Area,Alopecurus pratensis,66,2157.2049869954544,926.655,3657.534446100231,1410.25041675,9
Leaf Area,Aloysia wrightii,10,0.3471086390031211,0.34971705644782547,0.0708371631667158,0.014318659494077013,4
Leaf Area,Althaea officinalis,10,5221.867,4750.5,1864.3173395586086,2573.835,0
Leaf Area,Alyssum tortuosum,10,24.63,24,9.654710997458414,11.25,1
Leaf Area,Amaranthus retroflexus,10,1486.968,1386.67,588.9646040260446,853.665,0
Leaf Area,Ambrosia artemesifolia,21,3.4435,3.2682,1.4519434179746813,1.3147000000000002,6
Leaf Area,Ambrosia artemisiifolia,46,379.42804347826086,30.076,563.6288727937504,455.1515,8
Leaf Area,Ambrosia deltoidea,11,0.6164776659721652,0.641789467547043,0.08000826778117986,0.12173047210925958,0
Leaf Area,Ambrosia dumosa,12,5.940745691074286,2.534237909417145,12.32349538757429,1.0673059801665525,1
Leaf Area,Ambrosia psilostachya,20,4.920375,3.6418999999999997,3.309071380928333,3.818600000000001,2
Leaf Area,Ambrosia salsola,13,11.366593612199155,4.16051972350809,17.990994212226216,0.9945174547346003,4
Leaf Area,Amelanchier arborea,176,2315.4969696969697,2328.2,933.1322961998525,1007.3500000000004,14
Leaf Area,Amelanchier ovalis,25,132.886216,2.6938,649.400262064971,1.7344,3
