taxon_name,trait_domain_name,data_source_id,n_records,source_taxon_median,source_taxon_log10_median,n_sources_for_taxon,other_source_median,cross_source_ratio,cross_source_log10_gap,cross_source_nearest_factor,cross_source_factor_relative_error,flag_cross_source_corroborated,n_source_taxon_groups,domain_log10_median,lwr_25_log10,upr_75_log10,iqr_log10,global_outlier_lwr,global_outlier_upr,flag_global_log_outlier,global_ratio_to_median,global_nearest_factor,suggested_scale_factor,diagnostic_reason,diagnostic_priority
Dryopteris intermedia,Leaf mass per area,468,9,400,2.6020599913279625,5,0.017919063872220017,4.4797659680550045e-5,4.348744673822651,1e-4,0.5520234031944996,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,4.9402638582186735e-5,1e-4,1e-4,global_log_outlier,medium
Elymus,Leaf mass per area,523,9,154.41010706796823,2.18867572410973,2,0.006127902999975267,3.9685893082619824e-5,4.401363841980761,1e-4,0.6031410691738017,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,1.2797773285770907e-4,1e-4,1e-4,global_log_outlier,medium
Encelia actoni,Leaf mass per area,211,11,80.4376496474263,1.9054593722172701,2,0.012431989303373386,1.545543580383712e-4,3.8109187444322385,1e-4,0.5455435803837119,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,2.4566922976356474e-4,1e-4,1e-4,global_log_outlier,medium
Epipactis helleborine,Leaf mass per area,468,7,500,2.6989700043360187,4,0.023702313035956782,4.7404626071913566e-5,4.324179274792752,1e-4,0.5259537392808643,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,3.952211086574939e-5,1e-4,1e-4,global_log_outlier,medium
Erigeron speciosus,Leaf mass per area,258,40,210.51288261463372,2.3232786782108907,4,0.04113924050242349,1.9542386191031007e-4,3.7090224085636883,1e-4,0.9542386191031006,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,9.387100298773359e-5,1e-4,1e-4,global_log_outlier,medium
Erigeron speciosus,Leaf mass per area,523,10,161.4893975847761,2.2081440144592124,4,0.04113924050242349,2.5474886350249017e-4,3.59388774481201,1e-4,1.5474886350249017,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,1.2236750974627206e-4,1e-4,1e-4,global_log_outlier,medium
Eriophorum angustifolium,Leaf mass per area,292,1,100.89999999999996,2.0038911662369103,3,0.05547467113547015,5.497985246330047e-4,3.2597964299065274,0.001,0.45020147536699534,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,1.9584792302155304e-4,1e-4,1e-4,global_log_outlier,medium
Erythronium grandiflorum,Leaf mass per area,258,20,204.69588435374138,2.311109110760071,3,0.029830544526765125,1.4573104203313646e-4,3.836447929714102,1e-4,0.4573104203313645,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,9.653860650527294e-5,1e-4,1e-4,global_log_outlier,medium
Fagus grandifolia,Leaf mass per area,468,5,303.03030303030306,2.4814860601221125,9,0.005471724512573456,1.80566908914924e-5,4.743361836483332,1e-5,0.80566908914924,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,6.521148292848649e-5,1e-4,1e-4,global_log_outlier,medium
Festuca thurberi,Leaf mass per area,258,50,74.92126753062297,1.8746051162325457,3,31.713291163947396,0.42328823589356723,0.37336380135236336,1,0.5767117641064328,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,2.6375762295796255e-4,1e-4,1e-4,global_log_outlier,medium
