finding_type,severity,current_path,symbol,owning_issue,message
nested_named_helper,report_only,R/Functions/Modelling/Cross_validation/evaluate_sjsdm_fold_predictions.R,evaluate_source,#141,Extract or explicitly retain the named nested helper.
nested_named_helper,report_only,R/Functions/Modelling/Cross_validation/run_sjsdm_selected_candidate_folds.R,make_prediction_skeleton,#141,Extract or explicitly retain the named nested helper.
nested_named_helper,report_only,R/Functions/Modelling/Cross_validation/run_sjsdm_tuning_work_item.R,prepare_cached_fold,#141,Extract or explicitly retain the named nested helper.
nested_named_helper,report_only,R/Functions/Modelling/Decomposition_diagnostics/compute_predictive_decomposition_shares.R,make_undefined_rows;compute_one_fold,#154,Extract or explicitly retain the named nested helper.
nested_named_helper,report_only,R/Functions/Modelling/Decomposition_diagnostics/compute_predictive_performance_shares.R,make_undefined_rows;compute_one_fold,#154,Extract or explicitly retain the named nested helper.
nested_named_helper,report_only,R/Functions/Modelling/Decomposition_diagnostics/load_decomposition_diagnostic_inputs.R,read_target;read_model_fitting_config,#154,Extract or explicitly retain the named nested helper.
nested_named_helper,report_only,R/Functions/Modelling/Decomposition_diagnostics/run_decomposition_route_cv.R,make_empty_variant;fit_one_variant,#154,Extract or explicitly retain the named nested helper.
nested_named_helper,report_only,R/Functions/Modelling/Decomposition_diagnostics/summarise_decomposition_routes.R,get_loss,#154,Extract or explicitly retain the named nested helper.
nested_named_helper,report_only,R/Functions/Modelling/Evaluation/evaluate_binary_calibration.R,fit_calibration_model,#154,Extract or explicitly retain the named nested helper.
nested_named_helper,report_only,R/Functions/Modelling/Fit_inputs/prepare_fold_spatial_predictors.R,make_sample_partition,#154,Extract or explicitly retain the named nested helper.
nested_named_helper,report_only,R/Functions/Modelling/Fit_inputs/prepare_model_fold_input.R,make_abiotic_partition,#154,Extract or explicitly retain the named nested helper.
nested_named_helper,report_only,R/Functions/Modelling/Variance_partitioning/recalculate_anova_components.R,get_val;compute_shapley,#154,Extract or explicitly retain the named nested helper.
nested_named_helper,report_only,R/Functions/Presentation/IAVS/Panels_and_animation/build_base_terminal_plot.R,make_scanline_data;make_noise_data;add_terminal_canvas;theme_terminal_blank,#155,Extract or explicitly retain the named nested helper.
nested_named_helper,report_only,R/Functions/Utility/Paths_and_stores/get_model_tuning_params.R,get_required_integer;get_optional_integer,#155,Extract or explicitly retain the named nested helper.
nested_named_helper,report_only,R/Functions/Utility/Pipeline/monitor_pipeline_progress.R,monitor_server,#155,Extract or explicitly retain the named nested helper.
nested_named_helper,report_only,R/Functions/Visualisation/Data_preparation/prepare_spatial_variance_waffle_data.R,collapse_observation_id,#155,Extract or explicitly retain the named nested helper.
uninventoried_function,report_only,R/Functions/Utility/Config/Generation/run_configuration_generation.R,NA,#150,Add the active function to the versioned inventory.
uninventoried_function,report_only,R/Functions/Utility/Config/load_active_config_value.R,NA,#150,Add the active function to the versioned inventory.
uninventoried_function,report_only,R/Functions/Utility/Config/load_config.R,NA,#150,Add the active function to the versioned inventory.
uninventoried_function,report_only,R/Functions/Utility/Config/load_config_value.R,NA,#150,Add the active function to the versioned inventory.
uninventoried_function,report_only,R/Functions/Utility/Config/load_config_value_with_fallback.R,NA,#150,Add the active function to the versioned inventory.
uninventoried_function,report_only,R/Functions/Utility/Config/validate_config_profile_selection.R,NA,#150,Add the active function to the versioned inventory.
uninventoried_script,report_only,R/03_Supplementary_analyses/One_time/Issues/issue_151/bootstrap_configuration_sources.R,NA,#150,Add the active script to the versioned inventory.
uninventoried_script,report_only,R/03_Supplementary_analyses/One_time/Issues/issue_151/create_configuration_profile_inventory.R,NA,#150,Add the active script to the versioned inventory.
uninventoried_script,report_only,R/03_Supplementary_analyses/One_time/Issues/issue_151/create_configuration_profile_reference.R,NA,#150,Add the active script to the versioned inventory.
uninventoried_script,report_only,R/03_Supplementary_analyses/Testing/testthat/test-load_active_config_value.R,NA,#150,Add the active script to the versioned inventory.
uninventoried_script,report_only,R/03_Supplementary_analyses/Testing/testthat/test-load_config.R,NA,#150,Add the active script to the versioned inventory.
uninventoried_script,report_only,R/03_Supplementary_analyses/Testing/testthat/test-load_config_value.R,NA,#150,Add the active script to the versioned inventory.
uninventoried_script,report_only,R/03_Supplementary_analyses/Testing/testthat/test-load_config_value_with_fallback.R,NA,#150,Add the active script to the versioned inventory.
uninventoried_script,report_only,R/03_Supplementary_analyses/Testing/testthat/test-run_configuration_generation.R,NA,#150,Add the active script to the versioned inventory.
uninventoried_script,report_only,R/03_Supplementary_analyses/Testing/testthat/test-validate_config_profile_selection.R,NA,#150,Add the active script to the versioned inventory.
uninventoried_script,report_only,R/03_Supplementary_analyses/Validation/Configuration/Check_configuration.R,NA,#150,Add the active script to the versioned inventory.
uninventoried_script,report_only,R/03_Supplementary_analyses/Validation/Configuration/Generate_configuration.R,NA,#150,Add the active script to the versioned inventory.
