candidate_id,review_stage,taxon_name,trait_domain_name,n_records,n_trait_names,n_datasets,n_domain_outliers,n_taxon_outliers,n_invalid_values,source_references,candidate_reasons,n_source_rules,n_proposed_source_rules,n_approved_source_rules,proposed_source_rule_ids,approved_source_rule_ids,investigation_outcome
39dfa7cf581f08bee2b0a9a93f43440f8030d921102620ce145313eef3d3adca,classified,Potentilla recta,Leaf Area,10,1,4,0,3,0,,taxon_outlier,0,0,0,,,approve_none_grouped
17569953feb6d603883411e770e5dd7c5960d6f31d2f61a89c3f704933548a3d,classified,Potentilla simplex,Leaf Area,27,1,3,0,1,0,,taxon_outlier,0,0,0,,,approve_none_grouped
b293ccbf810de41626a4dd1983450bd895b37d3fc2f73554915c4e5f81e48d16,classified,Potentilla subviscosa,Leaf Area,20,1,1,0,3,0,,taxon_outlier,0,0,0,,,approve_none_grouped
22e42412174c85ebade591f16739146007486922da66753ee1bed6b74e3cf852,classified,Poterium sanguisorba,Leaf Area,15,2,5,0,1,0,,taxon_outlier,0,0,0,,,approve_none_grouped
6bfa40240ee2aae538a9964fff6f8f0a8ec2161f4c2e4c035a9ae7e80fd26bf6,classified,Prenanthes purpurea,Leaf Area,40,1,4,8,8,0,,domain_outlier;taxon_outlier,0,0,0,,,approve_none_grouped
be4ab66d56f24dfb4c84deeaf83b1866aa4eb9be0cd9b9f6e4e4ccc92a4210cf,classified,Primula glutinosa,Leaf Area,43,1,1,0,2,0,,taxon_outlier,0,0,0,,,approve_none_grouped
2543392fa0d324b05ee3497852aa8ca033d03a3360352ccc1b991f78eb6ebc01,classified,Primula minima,Leaf Area,13,1,2,0,1,0,,taxon_outlier,1,0,1,,3f0543786babf50f90453c5af328dd77ba325efbdbd416d4aadf3aea9a3c4ec6,approve_none_after_source_rule
451d245400af04304e0fb2534bb63b1bfc6d160673516c374d429dd3b66c93d2,classified,Primula vulgaris,Leaf Area,51,3,6,40,8,0,,domain_outlier;taxon_outlier,0,0,0,,,approve_none_grouped
cd64ee12fe6a3558d82ec906a976706a0071861b1823d5c520214c3e82065f92,classified,Prosopis glandulosa,Leaf Area,11,1,1,0,3,0,,taxon_outlier,0,0,0,,,approve_none_grouped
49f609f9472003b3a6ab018ced0108d83b0fe1e4afe9f19486cda11d61a12eda,classified,Prunella vulgaris,Leaf Area,50,3,19,0,6,0,,taxon_outlier,2,0,2,,3f0543786babf50f90453c5af328dd77ba325efbdbd416d4aadf3aea9a3c4ec6;97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,approve_none_after_source_rule
83a322a2e36ebe7ac1242bde3f442e3e90ab1f7f2d6afde8bfd1a2f38ff4a964,classified,Prunus avium,Leaf Area,41,1,7,40,4,0,,domain_outlier;taxon_outlier,1,0,1,,97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,approve_none_after_source_rule
2cbbe9bb3b72e3d9de3b85701faf0373cec15a180b776dd1b626baa80811f04b,classified,Prunus fasciculata,Leaf Area,12,2,2,0,3,0,,taxon_outlier,1,0,1,,97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,approve_none_after_source_rule
a4516b3d050e92d976935c428199d88b051282815ac78b3b3d28304e91ef2094,classified,Prunus serotina,Leaf Area,36,4,20,7,7,0,,domain_outlier;taxon_outlier,1,0,1,,97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,approve_none_after_source_rule
20d210e55a7ee9f9f4eecb5b5b5c1fb6897417b166caa527f2c0b3d7c3ba06c1,classified,Prunus spinosa,Leaf Area,62,2,5,0,5,0,,taxon_outlier,1,0,1,,97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,approve_none_after_source_rule
361412fa831b2cd0c577923043d0eb26ff150057d52894957d58b0d3e81f306a,classified,Prunus umbellata,Leaf Area,17,1,1,0,1,0,,taxon_outlier,0,0,0,,,approve_none_grouped
ea0fd063f81c522e8d1ecd332d96063f30441c037e7d19f36835e0ac72330799,classified,Prunus virginiana,Leaf Area,10,2,7,1,2,0,,domain_outlier;taxon_outlier,1,0,1,,97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,approve_none_after_source_rule
f89f4b3c0f34320862a435ee476fe61c20b474962f180b40a6f1031d7024dd2a,classified,Psammophiliella muralis,Leaf Area,10,1,1,0,3,0,,taxon_outlier,0,0,0,,,approve_none_grouped
722ba26dfeaf78456fc306d64b05e9cb7e81876b7d5412de651a88eb7189a325,classified,Pseudognaphalium macounii,Leaf Area,12,1,1,0,3,0,,taxon_outlier,0,0,0,,,approve_none_grouped
bf3fe1d9bdc3ed8d02c00de43ee421643f141d9976a47c840255c74d73e9219f,classified,Pseudotsuga menziesii,Leaf Area,22,2,3,0,2,0,,taxon_outlier,1,0,1,,97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,approve_none_after_source_rule
916e19a989d25f4a559abc450a9f5244562cd0d84286a75280e615356b32fbdb,classified,Pseudoturritis turrita,Leaf Area,30,1,3,2,5,0,,domain_outlier;taxon_outlier,0,0,0,,,approve_none_grouped
c8c16e14634ba0cb543e2e21108771ce0b8be541a7d45d16c0e69d842cd733d7,classified,Pterocarya rhoifolia,Leaf Area,12,1,1,0,1,0,,taxon_outlier,0,0,0,,,approve_none_grouped
a035aff5b45a1c4da79c5c6cf9f1b672fb2c1886b708bdd87b2c9b512b6094f2,classified,Puccinellia distans,Leaf Area,19,2,2,0,2,0,,taxon_outlier,0,0,0,,,approve_none_grouped
676ee0957faf563c36166375775851115c92f5d8f86ce81f2eefcfd556d2717b,classified,Pulicaria odora,Leaf Area,10,1,1,8,2,0,,domain_outlier;taxon_outlier,0,0,0,,,approve_none_grouped
521b0986b09c22a0e4d25843eb81cd49d389dbbaa315e984d13f04bfe4989553,classified,Pulmonaria dacica,Leaf Area,10,1,1,2,1,0,,domain_outlier;taxon_outlier,0,0,0,,,approve_none_grouped
9ea0a2aaa77c0000543563b6c3e3d02613a0d48194e78604af8fc695fb78371a,classified,Pulsatilla,Leaf Area,44,1,5,0,3,0,,taxon_outlier,1,0,1,,3f0543786babf50f90453c5af328dd77ba325efbdbd416d4aadf3aea9a3c4ec6,approve_none_after_source_rule
ab2d465b294aaa89a3e9bd1a4e6ef692245f3d3427976fe9e60d6fd339c9d98d,classified,Purshia tridentata,Leaf Area,10,1,1,0,2,0,,taxon_outlier,0,0,0,,,approve_none_grouped
4b9f0e442fb9c6312c4be150254263489b7fdcc9f4654ab8661b074d674e060e,classified,Pyracantha angustifolia,Leaf Area,15,1,1,0,3,0,,taxon_outlier,0,0,0,,,approve_none_grouped
c714247345a9d26daf7a3b93e577c967caf788caf66a3fc55c66858fa299734a,classified,Pyrola elliptica,Leaf Area,19,2,2,0,1,0,,taxon_outlier,1,0,1,,97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,approve_none_after_source_rule
19c2eecff6fce7b10382ca416d565fc3137e13ccba32454ff7e7c16a8eee0b82,classified,Pyrola minor,Leaf Area,27,3,5,0,1,0,,taxon_outlier,1,0,1,,97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,approve_none_after_source_rule
3e493dc43dd389822f14395188a8e2ad0d641d3f9b748a7fda38d52899739201,classified,Pyrola rotundifolia,Leaf Area,22,1,5,0,1,0,,taxon_outlier,1,0,1,,97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,approve_none_after_source_rule
930755669f4eea3605e1f89ca48e204e099267602f69ca34f6c447dc8236238e,classified,Pyrus spinosa,Leaf Area,50,1,4,0,1,0,,taxon_outlier,0,0,0,,,approve_none_grouped
